STATE,COUNTY_NAME,datetime,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DOY,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,humidity
NM,Albuquerque,2012-6-18,9,Miscellaneous,171,B,34.97027778,-106.4597222,
NM,Albuquerque,2012-9-7,4,Campfire,251,A,35.17888889,-106.3788889,
NM,Albuquerque,2012-3-7,9,Miscellaneous,67,B,35.065,-106.4611111,
NM,Albuquerque,2012-10-12,4,Campfire,286,A,35.20416667,-106.4877778,
NM,Albuquerque,2012-7-26,4,Campfire,208,B,35.14555556,-106.4522222,
NM,Albuquerque,2012-10-19,13,Missing/Undefined,,C,35.22166667,-106.4652778,
NM,Albuquerque,2012-5-6,4,Campfire,127,A,35.24805556,-106.4091667,
NM,Albuquerque,2012-7-7,4,Campfire,189,A,35.21944444,-106.4841667,
NM,Albuquerque,2012-6-22,4,Campfire,174,A,35.0925,-106.3916667,
NM,Albuquerque,2012-3-16,9,Miscellaneous,76,B,35.10833333,-106.4761111,
NM,Albuquerque,2012-6-20,9,Miscellaneous,172,A,34.98,-106.3488889,
NM,Albuquerque,2012-7-29,1,Lightning,211,A,35.19944444,-106.4202778,
NV,Las Vegas,2012-11-13,7,Arson,318,A,36.26666667,-115.6633333,
NV,Las Vegas,2012-6-11,3,Smoking,163,A,36.26638889,-115.6625,
NV,Las Vegas,2012-5-31,9,Miscellaneous,153,A,36.27944444,-115.6811111,
NV,Las Vegas,2012-8-12,1,Lightning,227,B,36.11638889,-115.64,
NV,Las Vegas,2012-9-5,1,Lightning,249,A,36.42194444,-115.7425,
NV,Las Vegas,2012-7-13,1,Lightning,195,A,36.39777778,-115.8,
NV,Las Vegas,2012-8-17,1,Lightning,230,A,36.19666667,-115.6277778,
NV,Las Vegas,2012-6-22,9,Miscellaneous,174,A,36.27583333,-115.6711111,
NV,Las Vegas,2012-12-2,9,Miscellaneous,337,A,36.09472222,-115.5669444,
NV,Las Vegas,2012-12-4,9,Miscellaneous,339,A,36.29944444,-115.6844444,
NV,Las Vegas,2012-8-17,1,Lightning,231,A,36.16333333,-115.6658333,
NV,Las Vegas,2012-5-20,9,Miscellaneous,141,A,36.09444444,-115.5658333,
NV,Las Vegas,2012-5-28,4,Campfire,149,A,36.31722222,-115.6713889,
NV,Las Vegas,2012-8-7,1,Lightning,221,A,35.90194444,-115.5888889,
NV,Las Vegas,2012-8-7,1,Lightning,220,A,36.12916667,-115.5716667,
NV,Las Vegas,2012-8-5,4,Campfire,218,A,36.24583333,-115.6558333,
NV,Las Vegas,2012-5-31,9,Miscellaneous,152,A,36.26972222,-115.5630556,
NV,Las Vegas,2012-6-24,9,Miscellaneous,177,A,36.25694444,-115.6208333,
NV,Las Vegas,2012-9-10,1,Lightning,274,A,36.28694444,-115.6205556,
NV,Las Vegas,2012-8-27,9,Miscellaneous,240,A,36.17083333,-115.6155556,
NV,Las Vegas,2012-8-14,1,Lightning,242,A,36.30583333,-115.7158333,
NV,Las Vegas,2012-7-24,1,Lightning,207,A,36.22166667,-115.6530556,
CA,San Diego,2012-6-26,9,Miscellaneous,178,A,34.20416667,-117.8083333,
CA,San Diego,2012-9-10,1,Lightning,254,A,34.34527778,-117.9288889,
CA,San Diego,2012-11-5,9,Miscellaneous,310,A,34.54805556,-118.6716667,
CA,San Diego,2012-6-28,2,Equipment Use,180,A,34.48944444,-118.2858333,
CA,San Diego,2012-6-21,8,Children,173,B,34.46777778,-118.5308333,
CA,San Diego,2012-8-28,9,Miscellaneous,241,A,34.15166667,-117.6888889,
CA,San Diego,2012-3-13,4,Campfire,73,A,34.24277778,-118.1902778,
CA,San Diego,2012-8-9,1,Lightning,222,A,34.44777778,-118.0775,
CA,San Diego,2012-3-3,9,Miscellaneous,63,A,34.30055556,-118.2777778,
CA,San Diego,2012-8-30,1,Lightning,243,B,34.42083333,-117.7305556,
CA,San Diego,2012-11-14,2,Equipment Use,319,B,34.17666667,-117.8830556,
CA,San Diego,2012-6-25,9,Miscellaneous,177,C,34.75527778,-118.5525,
CA,San Diego,2012-8-30,1,Lightning,243,B,34.50694444,-118.1002778,
CA,San Diego,2012-3-3,2,Equipment Use,63,A,34.61361111,-118.7130556,
CA,San Diego,2012-9-1,2,Equipment Use,245,B,34.575,-118.7011111,
CA,San Diego,2012-8-21,2,Equipment Use,234,A,34.49194444,-118.1777778,
CA,San Diego,2012-6-16,9,Miscellaneous,168,B,34.49888889,-118.225,
CA,San Diego,2012-8-8,2,Equipment Use,221,A,34.25638889,-118.1972222,
CA,San Diego,2012-12-25,4,Campfire,360,A,34.29416667,-118.2402778,
CA,San Diego,2012-7-20,2,Equipment Use,202,A,34.49472222,-118.2769444,
CA,San Diego,2012-5-23,2,Equipment Use,144,A,34.72138889,-118.52,
CA,San Diego,2012-10-27,2,Equipment Use,301,A,34.50944444,-118.4522222,
CA,San Diego,2012-1-2,2,Equipment Use,2,B,34.46194444,-118.1738889,
CA,San Diego,2012-1-28,4,Campfire,29,A,34.615,-118.4255556,
CA,San Diego,2012-8-26,2,Equipment Use,239,A,34.26722222,-118.1169444,
CA,San Diego,2012-5-21,2,Equipment Use,142,A,34.63861111,-118.7461111,
CA,San Diego,2012-2-26,9,Miscellaneous,57,B,34.30916667,-118.3605556,
CA,San Diego,2012-8-9,1,Lightning,222,A,34.37833333,-117.7036111,
CA,San Diego,2012-9-10,1,Lightning,254,A,34.37638889,-117.8594444,
CA,San Diego,2012-9-15,9,Miscellaneous,259,B,34.27,-118.3905556,
CA,San Diego,2012-3-4,7,Arson,64,A,34.50722222,-118.3872222,
CA,San Diego,2012-2-9,9,Miscellaneous,40,B,34.42861111,-118.6858333,
CA,San Diego,2012-1-1,2,Equipment Use,1,A,34.4925,-118.2044444,
CA,San Diego,2012-8-9,1,Lightning,222,A,34.35888889,-117.6791667,
CA,San Diego,2012-3-3,9,Miscellaneous,63,B,34.26805556,-118.39,
CA,San Diego,2012-8-25,9,Miscellaneous,238,A,34.31944444,-118.3347222,
CA,San Diego,2012-6-13,2,Equipment Use,165,A,34.2325,-117.7955556,
CA,San Diego,2012-4-2,7,Arson,94,A,34.18861111,-117.6783333,
CA,San Diego,2012-10-27,9,Miscellaneous,301,A,34.49333333,-118.2797222,
