,STATE,COUNTY_NAME,datetime,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DOY,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,humidity
0,NM,Albuquerque,2012-6-18,9,Miscellaneous,171.0,B,34.97027778,-106.4597222,
1,NM,Albuquerque,2012-9-7,4,Campfire,251.0,A,35.17888889,-106.37888889999999,
2,NM,Albuquerque,2012-3-7,9,Miscellaneous,67.0,B,35.065,-106.4611111,
3,NM,Albuquerque,2012-10-12,4,Campfire,286.0,A,35.20416667,-106.48777779999999,31.0
4,NM,Albuquerque,2012-7-26,4,Campfire,208.0,B,35.14555556,-106.45222220000001,
5,NM,Albuquerque,2012-10-19,13,Missing/Undefined,,C,35.22166667,-106.4652778,8.1
6,NM,Albuquerque,2012-5-6,4,Campfire,127.0,A,35.24805556,-106.40916670000001,
7,NM,Albuquerque,2012-7-7,4,Campfire,189.0,A,35.21944444,-106.48416670000002,
8,NM,Albuquerque,2012-6-22,4,Campfire,174.0,A,35.0925,-106.39166670000002,
9,NM,Albuquerque,2012-3-16,9,Miscellaneous,76.0,B,35.10833333,-106.4761111,
10,NM,Albuquerque,2012-6-20,9,Miscellaneous,172.0,A,34.98,-106.34888889999999,
11,NM,Albuquerque,2012-7-29,1,Lightning,211.0,A,35.19944444,-106.4202778,
12,NV,Las Vegas,2012-11-13,7,Arson,318.0,A,36.26666667,-115.66333329999999,27.125
13,NV,Las Vegas,2012-6-11,3,Smoking,163.0,A,36.26638889,-115.6625,
14,NV,Las Vegas,2012-5-31,9,Miscellaneous,153.0,A,36.27944444,-115.68111110000001,
15,NV,Las Vegas,2012-8-12,1,Lightning,227.0,B,36.11638889,-115.64,
16,NV,Las Vegas,2012-9-5,1,Lightning,249.0,A,36.42194444,-115.7425,
17,NV,Las Vegas,2012-7-13,1,Lightning,195.0,A,36.39777778,-115.8,
18,NV,Las Vegas,2012-8-17,1,Lightning,230.0,A,36.19666667,-115.62777779999999,
19,NV,Las Vegas,2012-6-22,9,Miscellaneous,174.0,A,36.27583333,-115.6711111,
20,NV,Las Vegas,2012-12-2,9,Miscellaneous,337.0,A,36.09472222,-115.56694440000001,56.83333333
21,NV,Las Vegas,2012-12-4,9,Miscellaneous,339.0,A,36.29944444,-115.68444440000002,54.33333333
22,NV,Las Vegas,2012-8-17,1,Lightning,231.0,A,36.16333333,-115.66583329999999,
23,NV,Las Vegas,2012-5-20,9,Miscellaneous,141.0,A,36.09444444,-115.56583329999998,
24,NV,Las Vegas,2012-5-28,4,Campfire,149.0,A,36.31722222,-115.6713889,
25,NV,Las Vegas,2012-8-7,1,Lightning,221.0,A,35.90194444,-115.5888889,
26,NV,Las Vegas,2012-8-7,1,Lightning,220.0,A,36.12916667,-115.57166670000001,
27,NV,Las Vegas,2012-8-5,4,Campfire,218.0,A,36.24583333,-115.65583329999998,
28,NV,Las Vegas,2012-5-31,9,Miscellaneous,152.0,A,36.26972222,-115.56305559999998,
29,NV,Las Vegas,2012-6-24,9,Miscellaneous,177.0,A,36.25694444,-115.62083329999999,
30,NV,Las Vegas,2012-9-10,1,Lightning,274.0,A,36.28694444,-115.62055559999999,
31,NV,Las Vegas,2012-8-27,9,Miscellaneous,240.0,A,36.17083333,-115.6155556,
32,NV,Las Vegas,2012-8-14,1,Lightning,242.0,A,36.30583333,-115.71583329999999,
33,NV,Las Vegas,2012-7-24,1,Lightning,207.0,A,36.22166667,-115.65305559999999,
34,CA,San Diego,2012-6-26,9,Miscellaneous,178.0,A,34.20416667,-117.80833329999999,
35,CA,San Diego,2012-9-10,1,Lightning,254.0,A,34.34527778,-117.92888889999999,
36,CA,San Diego,2012-11-5,9,Miscellaneous,310.0,A,34.54805556,-118.67166670000002,63.54545455
37,CA,San Diego,2012-6-28,2,Equipment Use,180.0,A,34.48944444,-118.2858333,
38,CA,San Diego,2012-6-21,8,Children,173.0,B,34.46777778,-118.53083329999998,
39,CA,San Diego,2012-8-28,9,Miscellaneous,241.0,A,34.15166667,-117.6888889,
40,CA,San Diego,2012-3-13,4,Campfire,73.0,A,34.24277778,-118.19027779999999,
41,CA,San Diego,2012-8-9,1,Lightning,222.0,A,34.44777778,-118.0775,
42,CA,San Diego,2012-3-3,9,Miscellaneous,63.0,A,34.30055556,-118.2777778,
43,CA,San Diego,2012-8-30,1,Lightning,243.0,B,34.42083333,-117.73055559999999,
44,CA,San Diego,2012-11-14,2,Equipment Use,319.0,B,34.17666667,-117.88305559999999,36.23809524
45,CA,San Diego,2012-6-25,9,Miscellaneous,177.0,C,34.75527778,-118.5525,
46,CA,San Diego,2012-8-30,1,Lightning,243.0,B,34.50694444,-118.10027779999999,
47,CA,San Diego,2012-3-3,2,Equipment Use,63.0,A,34.61361111,-118.71305559999999,
48,CA,San Diego,2012-9-1,2,Equipment Use,245.0,B,34.575,-118.7011111,
49,CA,San Diego,2012-8-21,2,Equipment Use,234.0,A,34.49194444,-118.17777779999999,
50,CA,San Diego,2012-6-16,9,Miscellaneous,168.0,B,34.49888889,-118.225,
51,CA,San Diego,2012-8-8,2,Equipment Use,221.0,A,34.25638889,-118.19722220000001,
52,CA,San Diego,2012-12-25,4,Campfire,360.0,A,34.29416667,-118.24027779999999,80.25
53,CA,San Diego,2012-7-20,2,Equipment Use,202.0,A,34.49472222,-118.27694440000002,
54,CA,San Diego,2012-5-23,2,Equipment Use,144.0,A,34.72138889,-118.52,
55,CA,San Diego,2012-10-27,2,Equipment Use,301.0,A,34.50944444,-118.45222220000001,49.30434783
56,CA,San Diego,2012-1-2,2,Equipment Use,2.0,B,34.46194444,-118.1738889,
57,CA,San Diego,2012-1-28,4,Campfire,29.0,A,34.615,-118.42555559999998,
58,CA,San Diego,2012-8-26,2,Equipment Use,239.0,A,34.26722222,-118.11694440000001,
59,CA,San Diego,2012-5-21,2,Equipment Use,142.0,A,34.63861111,-118.74611110000001,
60,CA,San Diego,2012-2-26,9,Miscellaneous,57.0,B,34.30916667,-118.36055559999998,
61,CA,San Diego,2012-8-9,1,Lightning,222.0,A,34.37833333,-117.7036111,
62,CA,San Diego,2012-9-10,1,Lightning,254.0,A,34.37638889,-117.85944440000002,
63,CA,San Diego,2012-9-15,9,Miscellaneous,259.0,B,34.27,-118.39055559999998,
64,CA,San Diego,2012-3-4,7,Arson,64.0,A,34.50722222,-118.38722220000001,
65,CA,San Diego,2012-2-9,9,Miscellaneous,40.0,B,34.42861111,-118.68583329999998,
66,CA,San Diego,2012-1-1,2,Equipment Use,1.0,A,34.4925,-118.20444440000001,
67,CA,San Diego,2012-8-9,1,Lightning,222.0,A,34.35888889,-117.67916670000001,
68,CA,San Diego,2012-3-3,9,Miscellaneous,63.0,B,34.26805556,-118.39,
69,CA,San Diego,2012-8-25,9,Miscellaneous,238.0,A,34.31944444,-118.3347222,
70,CA,San Diego,2012-6-13,2,Equipment Use,165.0,A,34.2325,-117.79555559999999,
71,CA,San Diego,2012-4-2,7,Arson,94.0,A,34.18861111,-117.67833329999999,
72,CA,San Diego,2012-10-27,9,Miscellaneous,301.0,A,34.49333333,-118.27972220000001,49.30434783
73,CA,San Diego,2012-12-19,4,Campfire,354.0,A,34.2775,-118.3088889,81.04166667
74,CA,San Diego,2012-5-5,4,Campfire,126.0,A,34.33,-118.01916670000001,
75,CA,San Diego,2012-8-18,9,Miscellaneous,232.0,D,34.75111111,-118.77083329999999,
76,CA,San Diego,2012-9-3,2,Equipment Use,247.0,B,34.33916667,-118.50638889999999,
77,CA,San Diego,2012-5-21,2,Equipment Use,142.0,A,34.33944444,-118.50916670000001,
78,CA,San Diego,2012-12-10,2,Equipment Use,345.0,A,34.68027778,-118.4597222,77.70833333
79,CA,San Diego,2012-8-9,1,Lightning,222.0,A,34.38388889,-117.69277779999999,
80,CA,San Diego,2012-8-24,9,Miscellaneous,237.0,B,34.56944444,-118.68,
81,CA,San Diego,2012-4-20,2,Equipment Use,111.0,A,34.4975,-118.2675,
82,CA,San Diego,2012-4-7,2,Equipment Use,98.0,A,34.23638889,-117.84166670000002,
