datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2012-10-1,78.27272727,78.72727273,83,78,88,79.90909091,20.72727273,24.18181818,48.90909091,63.18181818,91.63636364,85.63636364,86.81818182,69,64.27272727,71.45454545,68.90909091,98.27272727,76,94,73,85.72727273,87,80.90909091,93,73.81818182,68.27272727,56.27272727,75.72727273,68,54.81818182,62.90909091,23.25,51,51,50
2012-10-10,76.17391304,62.6,74.5,68.08333333,70.41666667,65.08333333,16.625,32.68181818,20.35294118,22.30769231,69.04166667,66.29166667,74.66666667,57.16666667,55.65217391,63.29166667,44.41176471,73.66666667,61.4,74.86956522,49.58333333,83.68181818,84.17391304,76.375,71.30434783,52.75,73.35,74.66666667,59.33333333,83.375,61.41666667,69.375,40.16666667,62,62,60.5
2012-10-11,76.38095238,51.52631579,68.41666667,64.04166667,62.41666667,64.08333333,24.83333333,26.5,33.58333333,36.13333333,72.66666667,82.08333333,77.95833333,53,53.59090909,59.47826087,55.36842105,57.54166667,61.16666667,74.875,61.5,76.125,69.375,74.625,67.79166667,61.54166667,80.83333333,85.04166667,73.88235294,80.66666667,51.04166667,64.41666667,30.83333333,62.66666667,62.66666667,54.33333333
2012-10-12,89.95652174,80.30434783,71.16666667,77.79166667,66.95833333,67.04166667,74.20833333,33.70833333,31,45.33333333,77.41666667,79.875,78.75,53.40909091,40.73913043,59,48.60869565,59.08333333,60.36363636,71.125,54.625,71.125,57.75,68.125,50.77272727,63,45.39130435,48.45,77,62.5,56.625,58.66666667,34.125,64.5,64.5,54.75
2012-10-13,86.73913043,77.52173913,70.54166667,77.54166667,64.95833333,66.875,65.04166667,43.41666667,44.125,52.06666667,72.79166667,71.79166667,73,53.13636364,46.82608696,65.70833333,52.77272727,79.08333333,58.43478261,62.75,49.89473684,66.91666667,66.5,60.83333333,49.69565217,54.13043478,57.75,58.54545455,59.33333333,67.625,62.33333333,68,36.79166667,63.95833333,63.95833333,58.91666667
2012-10-14,92.79166667,88.41666667,68.875,82.79166667,64.70833333,66.375,56.25,40.41666667,37.77272727,55.04347826,77.83333333,71.83333333,81.16666667,85.66666667,69.45833333,81.875,62.875,84.66666667,67.375,71.20833333,76.57894737,66.66666667,63.95833333,66.54166667,52.04166667,70.26315789,43.91304348,46.27272727,62,55.5,65.70833333,65.16666667,44.375,60.75,60.75,54.75
2012-10-15,91.14285714,86.15,81.20833333,85.125,62.375,66.56521739,56.625,36.22727273,46.18181818,64.57894737,72.54166667,67.79166667,84.75,71.79166667,82.68181818,77.08333333,85.47619048,70.79166667,73.66666667,69.54166667,86.0952381,78.39130435,76.66666667,71.54166667,53.83333333,92.04545455,62.72727273,61.8,76.875,76.91304348,69.17391304,68.33333333,42.625,65.75,65.75,59.75
2012-10-16,93.4375,86.04166667,83.70833333,87,46.13043478,54.625,41,23.76190476,34,35.43478261,59.70833333,58.875,64.875,65.33333333,55.54545455,63.29166667,68.82608696,64.5,70.83333333,71,69.54166667,77.5,81.45833333,75.375,64.45833333,71.31818182,75.5,73.73913043,89.4,73.08333333,64.54166667,70.375,40.125,67.5,67.5,56.75
2012-10-17,73.5,79,76.54166667,75.33333333,59.4,75.09090909,38.75,27.55555556,31.375,24.15789474,76.45833333,59.70833333,73.29166667,63.29166667,53.70833333,67.20833333,67.88888889,70.86956522,65.45454545,61.375,60.15789474,63.66666667,58.75,73.04166667,73.04166667,54.875,62.125,64.17647059,69.4,64.45833333,70.5,69.75,36.83333333,62.75,62.75,50.75
2012-10-18,78.45454545,80.30434783,66.66666667,73.56521739,52.04347826,53.54166667,33,27.30434783,18.94736842,18.14285714,79.79166667,67.125,87.16666667,58.91666667,70.29166667,65,60.30434783,63.625,66.70833333,66.95833333,61.16666667,70.66666667,66.5,73.91666667,64.625,76.08695652,64.125,56.42857143,,67.45,67.25,71.91666667,29.875,56.25,56.25,40.25
2012-10-19,77.57142857,78.39130435,45.04166667,70.375,51.58333333,60.08333333,25.34782609,33.04166667,8.1,22.34782609,47.125,30.2173913,71.83333333,34.08695652,81.04166667,68.84210526,70.79166667,62.04545455,68.45833333,68.95833333,67.34782609,79.45833333,75.08333333,78.25,56.45833333,64.65217391,69.75,70.25,66,70.22727273,66.52173913,66.61538462,27.79166667,51,51,35.75
