,COUNTY_NAME,datetime,Humidity,Pressure,Temperature,Wind_direction,Wind_speed
20,Las Vegas,2012-12-2,56.83333333,1006.7083333333335,288.77666666666664,166.79166666666666,4.291666666666667
21,Las Vegas,2012-12-4,54.33333333,1016.1666666666665,288.91520833333334,191.45833333333331,3.4166666666666665
36,San Diego,2012-11-5,63.54545455,1017.047619047619,291.77270833333336,134.79166666666666,0.7916666666666666
72,San Diego,2012-10-27,49.30434783,1014.75,292.7141666666667,147.70833333333334,1.625
104,San Diego,2012-10-3,59.75,1010.6666666666665,297.87875,142.70833333333334,1.0833333333333333
122,San Diego,2012-10-26,60.875,1017.625,289.5308333333333,122.91666666666669,1.625
126,San Diego,2012-10-27,49.30434783,1014.75,292.7141666666667,147.70833333333334,1.625
140,San Diego,2012-10-27,49.30434783,1014.75,292.7141666666667,147.70833333333334,1.625
151,San Diego,2012-11-22,78.625,1019.0,287.0391666666667,118.75,1.0416666666666667
160,San Diego,2012-10-26,60.875,1017.625,289.5308333333333,122.91666666666669,1.625
168,San Diego,2012-11-22,78.625,1019.0,287.0391666666667,118.75,1.0416666666666667
204,San Diego,2012-10-25,58.875,1016.4166666666665,289.3064583333333,144.375,1.9583333333333333
220,San Diego,2012-10-23,72.73913043,1014.4782608695652,291.08208333333334,222.875,2.0416666666666665
245,Los Angeles,2012-11-4,74.16666667,1015.5,289.6852083333333,37.66666666666666,0.2916666666666667
250,Los Angeles,2012-10-13,64.95833333,1014.0416666666665,289.4675,40.083333333333336,0.9166666666666666
255,Los Angeles,2012-11-10,64.5,1012.1666666666665,288.02,50.16666666666666,0.875
265,Los Angeles,2012-10-16,46.13043478,1013.1739130434784,296.1120833333333,96.875,1.2083333333333333
280,Nashville,2012-11-18,55.1,1029.875,279.936875,25.0,1.0
283,Nashville,2012-11-17,55.80952381,1020.782608695652,280.935,26.375,2.0
323,Jacksonville,2012-10-29,70.45833333,1005.2083333333335,293.2320833333334,297.0833333333333,4.833333333333333
520,San Antonio,2012-11-28,54.5,1024.5833333333333,287.52166666666665,260.4166666666667,3.333333333333333
538,Los Angeles,2013-10-24,78.70833333,1018.6666666666665,288.05527916666665,225.70833333333331,0.625
540,San Diego,2013-6-13,82.58333333,1014.875,290.9407291666667,241.625,1.2083333333333333
541,San Diego,2013-12-28,54.0,1026.7916666666667,288.2181250000001,186.91666666666663,0.7083333333333334
547,San Diego,2013-5-12,73.39130435,1018.0434782608696,291.70375,176.125,2.0
549,San Diego,2013-5-2,65.5,1014.0454545454544,290.03291666666667,179.91666666666663,3.0
552,San Diego,2013-9-12,80.20833333,1015.7083333333335,293.43648194166667,244.70833333333331,1.5
554,San Diego,2013-5-28,68.45833333,1015.5,289.6425000000001,180.0,1.8333333333333333
556,San Diego,2013-6-11,74.0,1012.2083333333335,291.0299791666667,262.25,1.5
560,San Diego,2013-4-24,63.04166667,1014.5416666666665,288.71083333333337,197.08333333333331,2.4166666666666665
564,San Diego,2013-4-7,72.91666667,1018.125,288.8787499999999,196.25,2.708333333333333
572,San Diego,2013-8-8,82.04166667,1016.3333333333335,291.768875,295.0833333333333,1.4166666666666667
577,San Diego,2013-10-20,61.08333333,1018.8333333333335,290.70379860833333,173.45833333333337,1.5
581,San Diego,2013-8-4,76.375,1013.5,291.87500000000006,207.33333333333331,1.0416666666666667
584,San Diego,2013-9-27,88.29166667,1022.5416666666665,290.65729166666665,205.41666666666663,1.125
586,San Diego,2013-4-16,85.66666667,1012.375,285.8654166666667,181.625,2.875
589,San Diego,2013-5-29,68.76190476,1011.65,290.4552083333333,201.16666666666663,2.333333333333333
591,San Diego,2013-4-29,76.39130435,1016.5652173913044,289.56916666666666,175.95833333333337,2.083333333333333
593,Los Angeles,2013-7-23,74.45833333,1013.7083333333335,294.7355972208333,158.58333333333334,0.75
594,Nashville,2013-11-5,55.54166667,1040.0416666666667,285.6528333333334,156.33333333333334,2.333333333333333
600,San Diego,2013-8-5,81.45833333,1014.3333333333335,291.15666666666664,288.7916666666667,1.2083333333333333
602,San Diego,2013-11-24,67.875,1019.8333333333335,285.18833333333333,267.1666666666667,1.6666666666666667
604,San Diego,2013-5-2,65.5,1014.0454545454544,290.03291666666667,179.91666666666663,3.0
614,San Diego,2013-9-6,67.625,1012.7916666666665,299.6579701374999,262.5,1.5833333333333333
615,San Diego,2013-11-29,76.83333333,1017.75,287.0773125,290.5416666666667,0.9583333333333334
618,San Diego,2013-6-27,70.625,1013.125,293.8272083333334,264.375,1.0416666666666667
620,San Diego,2013-5-26,67.33333333,1015.2380952380953,289.46708333333333,215.04166666666663,1.6666666666666667
621,San Diego,2013-6-19,73.95833333,1012.5416666666665,291.35900000000004,201.0,1.6666666666666667
623,San Diego,2013-7-20,83.86363636,1011.5833333333335,292.80125,302.7916666666667,1.3333333333333333
626,San Diego,2013-3-29,71.68181818,1017.4090909090908,288.05083333333334,184.25,1.25
628,San Diego,2013-7-6,76.0,1009.0833333333335,292.84229166666665,260.2083333333333,1.4166666666666667
633,San Diego,2013-11-23,70.54166667,1014.4166666666665,287.2218541666666,239.45833333333331,1.875
636,San Diego,2013-10-3,74.58333333,1013.625,290.7161909708332,194.75,0.9166666666666666
642,San Diego,2013-8-1,81.20833333,1017.5,291.35020833333334,300.9166666666667,1.375
653,San Diego,2013-7-24,75.5,1014.4166666666665,293.8858333333333,251.04166666666663,1.2916666666666667
656,San Diego,2013-8-21,77.875,1012.0416666666665,293.2114583333333,276.3333333333333,1.4583333333333333
660,San Diego,2013-10-16,69.29166667,1025.5833333333333,292.69830555416667,160.20833333333334,0.7916666666666666
675,San Diego,2013-10-16,69.29166667,1025.5833333333333,292.69830555416667,160.20833333333334,0.7916666666666666
680,San Diego,2013-5-18,66.71428571,1015.2857142857144,290.2925,166.08333333333334,1.4583333333333333
688,San Diego,2013-1-20,39.0,1018.625,288.6358333333333,105.0,0.7083333333333334
690,Los Angeles,2013-5-24,63.08333333,1010.0416666666665,290.93875,112.79166666666669,0.7916666666666666
692,Albuquerque,2013-3-20,16.875,1017.9166666666665,282.688875,235.16666666666663,1.875
696,San Diego,2013-10-7,69.25,1017.0,293.1890347208334,225.20833333333331,1.1666666666666667
697,San Diego,2013-1-7,67.91666667,1023.0416666666665,283.0129166666666,93.33333333333331,1.0416666666666667
701,San Diego,2013-4-17,62.36842105,1014.3684210526317,285.856875,237.5,3.125
705,San Diego,2013-1-17,37.69565217,1022.3181818181821,283.39266666666657,122.54166666666669,1.7083333333333333
708,San Diego,2013-6-10,77.83333333,1011.7916666666665,290.4795833333333,220.08333333333331,1.375
709,San Diego,2013-2-14,60.65,1024.625,283.41500000000013,120.83333333333331,1.5
712,San Diego,2013-7-9,76.41666667,1010.5,294.32749999999993,285.7916666666667,1.2916666666666667
716,Los Angeles,2013-7-24,69.16666667,1014.5416666666665,294.7089583333333,170.375,0.7916666666666666
717,San Diego,2013-6-15,74.29166667,1012.7916666666665,290.43875,211.08333333333331,1.375
722,San Diego,2013-9-20,84.125,1007.7083333333335,291.56812499583333,181.16666666666663,0.8333333333333334
726,Las Vegas,2013-7-2,14.66666667,1009.75,312.1949999999999,153.33333333333334,3.1666666666666665
727,San Diego,2013-4-7,72.91666667,1018.125,288.8787499999999,196.25,2.708333333333333
730,San Diego,2013-11-23,70.54166667,1014.4166666666665,287.2218541666666,239.45833333333331,1.875
732,San Diego,2013-6-19,73.95833333,1012.5416666666665,291.35900000000004,201.0,1.6666666666666667
737,San Diego,2013-8-26,70.83333333,1010.25,294.1816875,285.2083333333333,0.8333333333333334
